; CSV, generated by libsigrok4DSL 0.2.0 on Tue May 12 11:12:06 2026
; Channels (1/16)
; Sample rate: 100 MHz
; Sample count: 500.736 K Samples
Time(s), 2
0,0
5.044e-05,1
5.082e-05,0
5.184e-05,1
5.222e-05,0
5.324e-05,1
5.361e-05,0
5.464e-05,1
5.501e-05,0
5.603e-05,1
5.641e-05,0
5.743e-05,1
5.78e-05,0
5.883e-05,1
5.92e-05,0
6.022e-05,1
6.06e-05,0
6.251e-05,1
6.301e-05,0
6.403e-05,1
6.454e-05,0
6.556e-05,1
6.606e-05,0
6.708e-05,1
6.758e-05,0
6.861e-05,1
6.911e-05,0
7.013e-05,1
7.063e-05,0
7.166e-05,1
7.216e-05,0
7.318e-05,1
7.368e-05,0
7.585e-05,1
7.622e-05,0
7.725e-05,1
7.762e-05,0
7.864e-05,1
7.902e-05,0
8.004e-05,1
8.041e-05,0
8.144e-05,1
8.181e-05,0
8.283e-05,1
8.321e-05,0
8.423e-05,1
8.46e-05,0
8.563e-05,1
8.6e-05,0
